No,Provinsi,Kab_Kota,Kecamatan,Puskesmas,Kelurahan,Bulan,Tahun,Sasaran_Balita,Balita_Bulan_Ini,Balita_Ditimbang,Pct_Balita_Ditimbang,Balita_Ditimbang_Diukur,Pct_Balita_Ditimbang_Diukur,Balita_Diukur_PB_TB,Pct_Balita_Diukur_PB_TB,Balita_Punya_KIA,Pct_Balita_Punya_KIA,Balita_Naik_BB_N,Balita_Tidak_Naik_BB_T,Balita_Tidak_Timbang_Bulan_Lalu_O,Bayi_Baru_Lahir_Bulan_Ini_B,Balita_Ditimbang_Terkoreksi_D,Pct_Balita_Ditimbang_Terkoreksi,Jml_Balita_Stunting,Pct_Balita_Stunting,Jml_Balita_Wasting,Pct_Balita_Wasting,Jml_Balita_Overweight,Pct_Balita_Overweight,Jml_Balita_Underweight,Pct_Balita_Underweight,Jml_Bayi_Dapat_IMD,Pct_Bayi_Dapat_IMD,Jml_Bayi_0_5_Bulan,Jml_Bayi_0_5_Bulan_Recall,Jml_Bayi_0_5_Bulan_ASI_Eksklusif_Recall,Pct_Bayi_0_5_Bulan_ASI_Eksklusif_Recall,Jml_Bayi_6_Bulan,Jml_Bayi_ASI_Eksklusif_6_Bulan,Pct_Bayi_ASI_Eksklusif_6_Bulan,Jml_Anak_6_23_Bulan,Jml_Anak_6_23_Bulan_Wawancara,Pct_Anak_6_23_Bulan_Wawancara,Jml_Anak_6_23_Bulan_Konsumsi_5_8_Kelompok,Pct_Anak_6_23_Bulan_Konsumsi_5_8_Kelompok,Jml_Anak_6_23_Bulan_Konsumsi_Telur_Ikan_Daging,Pct_Anak_6_23_Bulan_Konsumsi_Telur_Ikan_Daging,Jml_Anak_6_23_Bulan_MPASI_Baik,Pct_Anak_6_23_Bulan_MPASI_Baik,Jml_Bayi_6_11_Bulan,Jml_Bayi_6_11_Bulan_Vitamin_A,Pct_Bayi_6_11_Bulan_Vitamin_A,Jml_Anak_12_59_Bulan,Jml_Anak_12_59_Bulan_Vitamin_A,Pct_Anak_12_59_Bulan_Vitamin_A,Jml_Anak_12_59_Bulan_Vitamin_A_2x,Jml_Balita_Underweight_Total,Jml_Balita_Suplemen_Gizi_Mikro,Jml_Balita_Gizi_Kurang_6_59_Bulan,Jml_Balita_Gizi_Kurang_6_59_Bulan_MT_Lokal,Pct_Balita_Gizi_Kurang_MT_Lokal,Jml_Balita_BB_Kurang_6_59_Bulan,Jml_Balita_BB_Kurang_6_59_Bulan_MT_Lokal,Pct_Balita_BB_Kurang_MT_Lokal,Jml_Balita_BB_Tidak_Naik_6_59_Bulan,Jml_Balita_BB_Tidak_Naik_6_59_Bulan_MT_Lokal,Pct_Balita_BB_Tidak_Naik_MT_Lokal,Jml_Gizi_Buruk_Bayi_0_5_Bulan,Jml_Gizi_Buruk_Bayi_0_5_Bulan_Perawatan,Pct_Gizi_Buruk_Bayi_0_5_Bulan_Perawatan,Jml_Gizi_Buruk_Balita_6_59_Bulan,Jml_Gizi_Buruk_Balita_6_59_Bulan_Perawatan,Pct_Gizi_Buruk_Balita_6_59_Bulan_Perawatan,Jml_Balita_Stunting_Total,Jml_Balita_Stunting_Rujuk_PKM_RS,Pct_Balita_Stunting_Rujuk_PKM_RS,Waktu_Input
128,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,BONTANG BARU,April,2025,1130,562,499,88.79,499, 88.79 ,499, 88.79 ,561, 99.82 ,251,223,25,0,474, 52.95 ,92, 18.44 ,27, 5.41 ,14, 2.81 ,59, 11.82 ,0,0,0,0,0,0,8,2, 25.00 ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,12,0,29,0,0,33,0,0,176,0,0,0,0,0,0,0,0,86,0,0,19/01/2026 23:56
129,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,API-API,April,2025,1599,733,563,76.81,563, 76.81 ,563, 76.81 ,733, 100.00 ,229,192,141,1,421, 54.39 ,103, 18.29 ,22, 3.91 ,20, 3.55 ,55, 9.77 ,1,100,0,0,0,0,9,6, 66.67 ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,19/01/2026 23:58
130,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,GUNUNG ELAI,April,2025,1535,765,631,82.48,631, 82.48 ,631, 82.48 ,764, 99.87 ,242,333,55,1,575, 42.09 ,58, 9.19 ,30, 4.75 ,21, 3.33 ,50, 7.92 ,1,100,0,0,0,0,5,1, 20.00 ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,13,0,30,0,0,31,0,0,280,0,0,0,0,0,0,0,0,69,0,0,20/01/2026 0:08
131,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA II,LOK TUAN,April,2025,1996,1276,816,63.95,816, 63.95 ,816, 63.95 ,1276, 100.00 ,382,307,115,12,689, 55.44 ,172, 21.08 ,44, 5.39 ,20, 2.45 ,121, 14.83 ,12,100,0,0,0,0,15,11, 73.33 ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,183,29,91,0,0,82,0,0,221,0,0,0,0,0,1,1,100,329,1,0.3,3/1/2026 9:11
132,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA II,GUNTUNG,April,2025,466,641,235,36.66,235, 36.66 ,235, 36.66 ,641, 100.00 ,119,106,10,0,225, 52.89 ,60, 25.53 ,20, 8.51 ,10, 4.26 ,44, 18.72 ,0,0,0,0,0,0,6,6, 100.00 ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,56,17,25,0,0,33,0,0,66,0,0,0,0,0,1,1,100,106,0,0,16/12/2025 15:37
133,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG BARAT,BONTANG BARAT,KANAAN,April,2025,389,257,112,43.58,112, 43.58 ,112, 43.58 ,257, 100.00 ,37,40,35,0,77, 48.05 ,8, 7.14 ,4, 3.57 ,4, 3.57 ,4, 3.57 ,0,0,0,0,0,0,2,0, -   ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,13,24,10,0,0,1,0,0,34,0,0,0,0,0,1,1,100,31,0,0,14/01/2026 6:52
134,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG BARAT,BONTANG BARAT,GUNUNG TELIHAN,April,2025,1212,795,357,44.91,357, 44.91 ,357, 44.91 ,795, 100.00 ,136,112,109,0,248, 54.84 ,48, 13.45 ,9, 2.52 ,10, 2.80 ,27, 7.56 ,0,0,0,0,0,0,6,0, -   ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,79,43,51,0,0,22,0,0,97,0,0,0,0,0,3,3,100,111,1,0.9,19/01/2026 11:02
135,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG BARAT,BONTANG BARAT,BELIMBING,April,2025,1237,840,398,47.38,398, 47.38 ,398, 47.38 ,840, 100.00 ,151,128,119,0,279, 54.12 ,72, 18.09 ,10, 2.51 ,14, 3.52 ,34, 8.54 ,0,0,0,0,0,0,9,2, 22.22 ,0,0, -   ,0, -   ,0, -   ,0, -   ,0,0,0,0,0,0,0,77,26,38,0,0,31,0,0,100,0,0,0,0,0,0,0,0,131,0,0,14/01/2026 6:52
136,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG LESTARI,BONTANG LESTARI,Maret,2025,440,584,516,88.36,516, 88.36 ,516, 88.36 ,582, 99.66 ,274,216,25,1,490, 55.92 ,142, 27.52 ,55, 10.66 ,12, 2.33 ,111, 21.51 ,1,100,0,0,0,0,4,0, -   ,151,111, 73.51 ,89, 80.18 ,107, 96.40 ,89, 80.18 ,0,0,0,0,0,0,0,11,62,82,0,0,72,0,0,130,0,0,0,0,0,2,2,100,178,0,0,22/1/2026 9:27
137,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN I,SATIMPO,Maret,2025,781,479,130,27.14,130, 27.14 ,130, 27.14 ,479, 100.00 ,49,58,23,6,107, 45.79 ,26, 20.00 ,3, 2.31 ,3, 2.31 ,15, 11.54 ,0,0,0,0,0,0,5,3, 60.00 ,121,110, 90.91 ,109, 99.09 ,109, 99.09 ,109, 99.09 ,0,0,0,0,0,0,0,29,12,8,0,0,13,0,0,47,0,0,0,0,0,0,0,0,38,0,0,19/12/2025 15:28
